SLUG,SYMBOL,NAME
 bitcoin,BTC, Bitcoin
 ethereum,ETH, Ethereum
 tether,USDT, Tether
 inr,INR, Indian Rupee
 kwd,KWD,KWD
 usd-coin,USDC, USD Coin
 bnb,BNB, BNB
 binance-usd,BUSD, Binance USD
 cardano,ADA, Cardano
 xrp,XRP, XRP
 solana,SOL, Solana
 polkadot-new,DOT, Polkadot
 dogecoin,DOGE, Dogecoin
 multi-collateral-dai,DAI, Dai
 wrapped-bitcoin,WBTC, Wrapped Bitcoin
 tron,TRX, TRON
 unus-sed-leo,LEO, UNUS SED LEO
 avalanche,AVAX, Avalanche
 shiba-inu,SHIB, Shiba Inu
 litecoin,LTC, Litecoin
 ftx-token,FTT, FTX Token
 polygon,MATIC, Polygon
 chainlink,LINK, Chainlink
 cronos,CRO, Cronos
 stellar,XLM, Stellar
"uniswap,","UNI,","Uniswap,"
 near-protocol,NEAR, NEAR Protocol
 bitcoin-cash,BCH, Bitcoin Cash
 algorand,ALGO, Algorand
 monero,XMR, Monero
 cosmos,ATOM, Cosmos
 ethereum-classic,ETC, Ethereum Classic
 vechain,VET, VeChain
 flow,FLOW, Flow
 decentraland,MANA, Decentraland
 hedera,HBAR, Hedera
 internet-computer,ICP, Internet Computer
 tezos,XTZ, Tezos
 trueusd,TUSD, TrueUSD
 filecoin,FIL, Filecoin
 helium,HNT, Helium
 kucoin-token,KCS, KuCoin Token
 theta-network,THETA, Theta Network
 the-sandbox,SAND, The Sandbox
 bitcoin-sv,BSV, Bitcoin SV
 elrond-egld,EGLD, Elrond
 apecoin-ape,APE, ApeCoin
 paxos-standard,USDP, Pax Dollar
 zcash,ZEC, Zcash
 eos,EOS, EOS
 axie-infinity,AXS, Axie Infinity
 huobi-token,HT, Huobi Token
 aave,AAVE, Aave
 neutrino-usd,USDN, Neutrino USD
 bittorrent-new,BTT, BitTorrent-New
 maker,MKR, Maker
 iota,MIOTA, IOTA
 usdd,USDD, USDD
 ecash,XEC, eCash
 klaytn,KLAY, Klaytn
 the-graph,GRT, The Graph
 okb,OKB, OKB
 neo,NEO, Neo
 pax-gold,PAXG, PAX Gold
 thorchain,RUNE, THORChain
 quant,QNT, Quant
 fantom,FTM, Fantom
 chiliz,CHZ, Chiliz
 loopring,LRC, Loopring
 waves,WAVES, Waves
 basic-attention-token,BAT, Basic Attention Token
 dash,DASH, Dash
 pancakeswap,CAKE, PancakeSwap
 stacks,STX, Stacks
 kusama,KSM, Kusama
 fei-usd,FEI, Fei USD
 zilliqa,ZIL, Zilliqa
 gemini-dollar,GUSD, Gemini Dollar
 gala,GALA, Gala
 nexo,NEXO, Nexo
 amp,AMP, Amp
 enjin-coin,ENJ, Enjin Coin
 celo,CELO, Celo
 green-metaverse-token,GMT, STEPN
 xinfin,XDC, XDC Network
 holo,HOT, Holo
 nem,XEM, NEM
 mina,MINA, Mina
 decred,DCR, Decred
 kava,KAVA, Kava
 curve-dao-token,CRV, Curve DAO Token
 gatetoken,GT, GateToken
 harmony,ONE, Harmony
 1inch,1INCH, 1inch Network
 gnosis-gno,GNO, Gnosis
 kadena,KDA, Kadena
 qtum,QTUM, Qtum
 arweave,AR, Arweave
 symbol,XYM, Symbol
 bitcoin-gold,BTG, Bitcoin Gold
 omg,OMG, OMG Network
 kyber-network-crystal-v2,KNC, Kyber Network Crystal v2
 moonbeam,GLMR, Moonbeam
 iotex,IOTX, IoTeX
 iostoken,IOST, IOST
 oasis-network,ROSE, Oasis Network
 bora,BORA, BORA
 serum,SRM, Serum
 icon,ICX, ICON
 convex-finance,CVX, Convex Finance
 compound,COMP, Compound
 theta-fuel,TFUEL, Theta Fuel
 audius,AUDIO, Audius
 ankr,ANKR, Ankr
 0x,ZRX, 0x
 skale-network,SKL, SKALE Network
 synthetix-network-token,SNX, Synthetix
 uma,UMA, UMA
 ravencoin,RVN, Ravencoin
 golem-network-tokens,GLM, Golem
 just,JST, JUST
 ontology,ONT, Ontology
 livepeer,LPT, Livepeer
 swissborg,CHSB, SwissBorg
 balancer,BAL, Balancer
 bancor,BNT, Bancor
 siacoin,SC, Siacoin
 trust-wallet-token,TWT, Trust Wallet Token
 horizen,ZEN, Horizen
 voyager-token,VGX, Voyager Token
 wax,WAXP, WAX
 yearn-finance,YFI, yearn.finance
 mxc,MXC, Meta X Connect
 ethereum-name-service,ENS, Ethereum Name Service
 sxp,SXP, SXP
 lido-dao,LDO, Lido DAO
 braintrust,BTRST, Braintrust
 immutable-x,IMX, Immutable X
 secret,SCRT, Secret
 celsius,CEL, Celsius
 apenft,NFT, APENFT
 renbtc,RENBTC, renBTC
 hive-blockchain,HIVE, Hive
 polymath-network,POLY, Polymath
 dogelon,ELON, Dogelon Mars
 wootrade,WOO, WOO Network
 digibyte,DGB, DigiByte
 storj,STORJ, Storj
 casper,CSPR, Casper
 ellipsis,EPS, Ellipsis
 playdapp,PLA, PlayDapp
 keep-network,KEEP, Keep Network
 mx-token,MX, MX TOKEN
 sushiswap,SUSHI, SushiSwap
 constitutiondao,PEOPLE, ConstitutionDAO
 lisk,LSK, Lisk
 acala,ACA, Acala Token
 ocean-protocol,OCEAN, Ocean Protocol
 chia-network,XCH, Chia
 nano,XNO, Nano
 orbs,ORBS, Orbs
 nervos-network,CKB, Nervos Network
 illuvium,ILV, Illuvium
 nucypher,NU, NuCypher
 wirex-token,WXT, Wirex Token
 conflux-network,CFX, Conflux
 zel,FLUX, Flux
 wink,WIN, WINkLink
 velas,VLX, Velas
 rally,RLY, Rally
 dao-maker,DAO, DAO Maker
 rari-governance-token,RGT, Rari Governance Token
 ceek-vr,CEEK, CEEK VR
 medibloc,MED, MediBloc
 ontology-gas,ONG, Ontology Gas
 persistence,XPRT, Persistence
 digitalbits,XDB, DigitalBits
 coti,COTI, COTI
 reserve-rights,RSR, Reserve Rights
 ren,REN, Ren
 chromia,CHR, Chromia
 render-token,RNDR, Render Token
 power-ledger,POWR, Powerledger
 status,SNT, Status
 celer-network,CELR, Celer Network
 telcoin,TEL, Telcoin
 cartesi,CTSI, Cartesi
 metal,MTL, Metal
 coin98,C98, Coin98
 funtoken,FUN, FUNToken
 syscoin,SYS, Syscoin
 pundix-new,PUNDIX, Pundi X (New)
 bitmax-token,ASD, ASD
 ardor,ARDR, Ardor
 dent,DENT, Dent
 vulcan-forged-pyr,PYR, Vulcan Forged PYR
 request,REQ, Request
 origin-protocol,OGN, Origin Protocol
 xyo,XYO, XYO
 tribe,TRIBE, Tribe
 susd,SUSD, sUSD
 civic,CVC, Civic
 hex,HEX, HEX
 wrapped-tron,WTRX, Wrapped TRON
 youcash,YOUC, yOUcash
 steth,stETH, Lido Staked ETH
 bitcoin-bep2,BTCB, Bitcoin BEP2
 chain,XCN, Chain
 frax,FRAX, Frax
 toncoin,TON, Toncoin
 wbnb,WBNB, Wrapped BNB
 bittorrent,BTTOLD, BitTorrent
 huobi-btc,HBTC, Huobi BTC
 liquity-usd,LUSD, Liquity USD
 defichain,DFI, DeFiChain
 tether-gold,XAUT, Tether Gold
 fruits-eco,FRTS, Fruits
 safe,SAFE, Safe
 terra-luna,LUNC, Terra Classic
 counos-x,CCXX, Counos X
 wemix,WEMIX, WEMIX
 the-transfer-token,TTT, The Transfer Token
 terra-luna-v2,LUNA, Terra
 husd,HUSD, HUSD
 threshold,T, Threshold
 binaryx,BNX, BinaryX
