Name,Slug
poloniex,poloniex
btcc,btcc
bittrex,bittrex
kraken,kraken
bittylicious,bittylicious
cex.io,cex-io
bitfinex,bitfinex
hitbtc,hitbtc
exmo,exmo
okcoin,okcoin
indodax,indodax
bitstamp,bitstamp
zaif,zaif
the rock trading,therocktrading
coinmate,coinmate
zonda (bitbay),zonda
coinbase exchange,coinbase-exchange
bitonic,bitonic
yobit,yobit
huobi,huobi
litebit.eu,litebit
coincheck,coincheck
southxchange,southxchange
bitso,bitso
btcbox,btcbox
coincorner,coincorner
bitflyer,bitflyer
isx,isx
gemini,gemini
dex-trade,dex-trade
bitmex,bitmex
independent reserve,independent-reserve
luno,luno
coinone,coinone
korbit,korbit
bithumb,bithumb
lykke exchange,lykke-exchange
kuna,kuna
mercatox,mercatox
p2b,p2b
tidex,tidex
freiexchange,freiexchange
btc markets,btc-markets
paribu,paribu
btc-alpha,btc-alpha
coss,coss
btcturk | pro,btcturk-pro
stex,stex
wx.network,waves-exchange
koinim,koinim
stellarterm,stellar-decentralized-exchange
buda,buda
btc trade ua,btc-trade-ua
localtrade,localtrade
bitbank,bitbank
mercado bitcoin,mercado-bitcoin
altcoin trader,altcoin-trader
bancor network,bancor-network
binance,binance
tidebit,tidebit
okx,okx
gate.io,gate-io
idex,idex
kucoin,kucoin
bitcointrade,bitcointrade
aex,aex
coinut,coinut
satang pro,satang-pro
bigone,bigone
lbank,lbank
gopax,gopax
bibox,bibox
coinex,coinex
upbit,upbit
tradeogre,tradeogre
c-patex,c-patex
fatbtc,fatbtc
paymium,paymium
ddex,ddex
rudex,rudex
zebpay,zebpay
bitbns,bitbns
unocoin,unocoin
latoken,latoken
crex24,crex24
cryptonex,cryptonex
cointiger,cointiger
b2bx,b2bx
hotbit,hotbit
bitforex,bitforex
coindeal,coindeal
bitmart,bitmart
digifinex,digifinex
bilaxy,bilaxy
graviex,graviex
abcc,abcc
wazirx,wazirx
bitfront,bitfront
bitrue,bitrue
bitkub,bitkub
cryptology,cryptology
gdac,gdac
ascendex (bitmax),ascendex
coinsbit,coinsbit
huobi korea,huobi-korea
oceanex,oceanex
probit global,probit-exchange
dcoin,dcoin
cat.ex,catex
alterdice,alterdice
bkex,bkex
hanbitco,hanbitco
coinfield,coinfield
binance dex,binance-dex
vindax,vindax
coinmetro,coinmetro
bitglobal,bithumb-global
safetrade,safetrade
exnomy,exnomy
polyx,polyx
tokenize xchange,tokenize-xchange
whitebit,whitebit
birake network,birake-network
cbx,cbx
bitget,bitget
finexbox,finexbox
dydx,dydx
coinw,coinw
bitvavo,bitvavo
bybit,bybit
deribit,deribit
beaxy,beaxy
ftx,ftx
xt.com,xt
exmarkets,exmarkets
coinflex,coinflex
mexc,mxc
citex,citex
paybito,paybito
txbit,txbit
secondbtc,secondbtc
remitano,remitano
basefex,basefex
bitstorage,bitstorage
indoex,indoex
bitci,bitci
bitpanda pro,bitpanda-pro
bankcex,bankcex
50x,50x
blocktrade,blocktrade
bitvast,bitvast
novadax,novadax
qtrade,qtrade
ecxx,ecxx
binance.us,binance-us
mandala exchange,mandala
bitsten,bitsten
foblgate,foblgate
bitubu,bitubu
bitexlive,bitexlive
timex,timex
omgfin,omgfin
coinjar,coinjar
btse,btse
currency.com,currency-com
newdex,newdex
delta exchange,delta-exchange
tokocrypto,tokocrypto
bitopro,bitopro
reku,rekeningku-com
emirex,emirex
btx pro,btx-pro
ace,ace
vitex,vitex
pionex,pionex
zt,zt
digitalexchange.id,digitalexchange-id
xcalibra,xcalibra
nominex,nominex
bithash,bithash
nicehash,nicehash
tokenlon,tokenlon
fmfw.io,bitcoin-com-exchange
stakecube,stakecube
max exchange,max-exchange
bitay,bitay
valr,valr
stormgain,stormgain
namebase,namebase
biconomy exchange,biconomy
hotcoin global,hotcoin-global
swft octopus trade,swft-octopus-trade
coindcx,coindcx
phemex,phemex
resfinex,resfinex
loopring exchange,loopring-exchange
huobi japan,huobi-japan
chiliz,chiliz
jubi,jubi-exchange
giottus,giottus
coinlist pro,coinlist-pro
felixo,felixo
bitturk,bitturk
coinzoom,coinzoom
flybit,flybit
compound,compound
1inch exchange,1inch-exchange
balancer,balancer
curve finance,curve-finance
bingx,bingx
uniswap (v2),uniswap-v2
nash,nash-exchange
aprobit,aprobit
crosstower,crosstower
kwenta,kwenta
zipmex,zipmex
narkasa,narkasa
polkaswap,polkaswap
nexus mutual,nexus-mutual
aave,aave
kickex,kickex
tokensets,tokensets
sun.io,justswap
azbit,azbit
bitazza,bitazza
changelly pro,changelly-pro
bitcoiva,bitcoiva
trubit pro exchange,mexo-exchange
bitexen,bitexen
serum dex,serum-dex
sushiswap,sushiswap
koinbazar,koinbazar
crypto.com exchange,crypto-com-exchange
bit,bit-com
pancakeswap,pancakeswap
lmax digital,lmax-digital
sashimiswap,sashimiswap
ftx us,ftx-us
acdx,acdx
deepcoin,deepcoin
sakeswap.finance,sakeswap-finance
dodo (ethereum),dodo
honeyswap,honeyswap
pointpay,pointpay
luaswap,luaswap
mimo.exchange,mimo-exchange
mento,mento
foxbit,foxbit
bit4you,bit4you
klayswap,klayswap
venus,venus
defichain dex,defichain-dex
demex,demex
blockchain.com,blockchain-com-exchange
terraswap,terraswap
openocean,openocean
1inch liquidity protocol,1inch-liquidity-protocol
wanswap,wanswap
mdex,mdex
apeswap (bsc),apeswap
4swap,4swap
sifchain,sifchain
woo network,wootrade
quickswap,quickswap
lcx exchange,lcx-exchange
swop.fi,swop-fi
perpetual protocol,perpetual-protocol
bakeryswap,bakeryswap
dfyn network,dfyn-network
capital dex,capital-dex
bloctoswap,bloctoswap
kwikswap,kwikswap
put on your metamask!!!,put-on-your-metamask
dodo (bsc),dodo-bsc
plasmaswap (eth),plasmaswap
thorchain,thorchain-erc20
mdex (bsc),mdex-bsc
kyberswap classic,kyberswap-classic
unicly,unicly
quidax,quidax
ubeswap,ubeswap
pangolin,pangolin
raydium,raydium
pancakeswap (v2),pancakeswap-v2
uniswap (v3),uniswap-v3
viperswap,viperswap
spiritswap,spiritswap
minter(ethereum),minter-eth
wardenswap,wardenswap
globe derivative exchange,globe-derivative-exchange
binance tr,binance-tr
bunicorn,bunicorn
swapr,swapr
lydia finance,lydia-finance
becoswap,becoswap
convergence,convergence
babyswap,babyswap
coinswap space,coinswap-space
bxh,bxh
balancer (v2),balancer-v2
probit,probit-korea
sovryn,sovryn
shibaswap,shibaswap
coinstore,coinstore
sushiswap (bsc),sushiswap-bsc
kine protocol,kine-protocol
mars ecosystem,mars-ecosystem
sushiswap (fantom),sushiswap-fantom
sushiswap (polygon),sushiswap-polygon
sushiswap (gnosis),sushiswap-xdai
uniswap (v3) (optimism),uniswap-v3-optimism
kuswap,kuswap
orca,orca
kswap,kswap-finance
cherryswap,cherryswap
waultswap (polygon),waultswap-polygon
openleverage,openleverage
polydex,polydex
biswap,biswap
osmosis,osmosis
apollox,apollox
yetiswap,yetiswap
kava swap,kava-swap
spookyswap,spookyswap
traderjoe,traderjoe
jetswap (bsc),jetswap
dogeswap,dogeswap
clipper (ethereum),clipper
jetswap (polygon),jetswap-polygon
sushiswap (arbitrum),sushiswap-arbitrum
apeswap (polygon),apeswap-finance-polygon
dodo (polygon),dodo-polygon
symmetric(xdai),symmetric
voltswap,voltswap
jswap finance,jswap-finance
sushiswap (harmony),sushiswap-harmony
uniswap (v3) (arbitrum),uniswap-v3-arbitrum
kyberswap classic (polygon),kyberswap-classic-polygon
kyberswap classic (bsc),kyberswap-classic-bsc
kyberswap classic (avalanche),kyberswap-classic-avalanche
solarbeam,solarbeam
autoshark finance,autoshark-finance
dodo (arbitrum),dodo-arbitrum
kaidex,kaidex
orion protocol bsc,orion-protocol
aldrin,aldrin
planet finance,planet-finance
plasmaswap (bsc),plasmaswap-bsc
plasmaswap (polygon),plasmaswap-polygon
zilswap,zilswap
siennaswap,siennaswap
dfx finance (polygon),dfx-finance-polygon
dinosaur eggs,dinosaur-eggs
deri protocol,deri-protocol
huckleberry,huckleberry
defi kingdoms,defi-kingdoms
bitcoke,bitcoke
ref finance,ref-finance
elk finance (avalanche),elk-finance
quipuswap,quipuswap
wagyuswap,wagyuswap
sphynx labs,sphynx-swap
soulswap,soulswap
mojitoswap,mojitoswap
dfx finance (ethereum),dfx-finance
klever exchange,klever-exchange
elk finance (polygon),elk-finance-polygon
elk finance (bsc),elk-finance-bsc
makiswap,makiswap
crodex,crodex
vvs finance,vvs-finance
photonswap.finance,photonswap-finance
apollox dex,apollox-dex
maiar exchange,maiar-exchange
polkabridge,polkabridge
powertrade,powertrade
firebird finance (polygon),firebird-finance-polygon
katana,katana
oolongswap,oolongswap
morpheus swap,morpheus-swap
jetswap (fantom),jetswap-fantom
cronaswap,cronaswap
wingswap,wingswap
helix,injective-protocol
vexchange,vexchange
yoshi.exchange (ftm),yoshi-exchange
kine protocol (bsc),kine-protocol-bsc
kine protocol (polygon),kine-protocol-polygon
bit2me pro,bit2me
btcex,btcex-exchange
balancer (v2) (polygon),balancer-v2-polygon
balancer (v2) (arbitrum),balancer-v2-arbitrum
uniswap (v3) (polygon),uniswap-v3-polygon
symmetric (celo),symmetric-celo
tinyman,tinyman
netswap,netswap
tethys,tethys
mm finance (cronos),mm-finance
defyswap,defyswap
thorus,thorus
spartan protocol,spartan-protocol
glide finance,glide-finance
muesliswap,muesliswap-dex
saber dex,saber-dex
stellaswap,stellaswap
dark knight,dark-knight
knightswap,knightswap
zigzag (zksync v1),zigzag
hakuswap,hakuswap
vauld,vauld
wigoswap,wigoswap
zappy,zappy
claimswap,claimswap
okcoin japan,okcoin-japan
bullish,bullish
yuzuswap,yuzuswap
wannaswap,wannaswap
excalibur,excalibur
solidly,solidly
beamswap,beamswap
trisolaris,trisolaris
jupiter,jupiter
greenhouse,greenhouse
islandswap,islandswap
elk finance (okexchain),elk-finance-okexchain
elk finance (elastos),elk-finance-elastos
elk finance (fuse),elk-finance-fuse
pegasys,pegasys
yoshi.exchange (bsc),yoshi-exchange-bsc
astroswap,astroswap
protofi,protofi
mistswap,mistswap
coinhub,coinhub-mn
sushiswap (avalanche),sushiswap-avax
voltage finance,voltage-finance
sushiswap (fuse),sushiswap-fuse
orion protocol eth,orion-protocol-eth
defi kingdoms (crystalvale),defi-kingdoms-crystalvale
tombswap,tombswap
benswap-smartbch,benswap-smartbch
sundaeswap,sundaeswap
tranquil finance,tranquil-finance
milkyswap,milkyswap
radioshack (polygon),radioshack-polygon
tapbit,tapbit
radioshack (avalanche),radioshack-avalanche
radioshack (ethereum),radioshack-ethereum
radioshack (bsc),radioshack-bsc
zipswap,zipswap
zoomex,zoomex
zenlink (moonriver),zenlink
nomiswap,nomiswap
radioshack (cronos),radioshack-cronos
duckydefi,duckydefi
